id,country,gender,uid,group,join_dt,device,uid,dt,device,spent
1041787,DEU,F,1041787,A,26/01/2023,I,1041787,26/01/2023,I,1659.4
1022805,GBR,M,1022805,B,27/01/2023,I,1022805,01/02/2023,I,1546.3
1008085,USA,M,1008085,A,25/01/2023,A,1008085,27/01/2023,A,1266.8
1009288,BRA,F,1009288,B,25/01/2023,I,1009288,25/01/2023,I,1094.8
1001037,USA,F,1001037,B,31/01/2023,I,1001037,31/01/2023,I,879.1
1023745,BRA,F,1023745,B,03/02/2023,I,1023745,05/02/2023,I,872.9
1009810,BRA,F,1009810,A,25/01/2023,I,1009810,25/01/2023,I,854.8
1003941,MEX,,1003941,A,27/01/2023,,1003941,27/01/2023,,844.7
1017574,BRA,F,1017574,B,29/01/2023,A,1017574,29/01/2023,A,831.6
1008198,BRA,,1008198,B,03/02/2023,A,1008198,03/02/2023,A,771.9
1016433,MEX,F,1016433,B,05/02/2023,I,1016433,05/02/2023,I,765.1
1013863,USA,F,1013863,B,31/01/2023,A,1013863,31/01/2023,A,761.1
1019907,TUR,F,1019907,A,25/01/2023,A,1019907,25/01/2023,A,745.8
1016223,BRA,F,1016223,A,26/01/2023,A,1016223,26/01/2023,A,682.3
1020325,USA,M,1020325,A,05/02/2023,I,1020325,05/02/2023,I,615.2
1038098,MEX,F,1038098,B,28/01/2023,A,1038098,28/01/2023,A,579.1
1022692,USA,F,1022692,A,30/01/2023,I,1022692,30/01/2023,I,523.6
1025097,GBR,F,1025097,B,28/01/2023,A,1025097,28/01/2023,A,504.2
1009232,USA,,1009232,A,28/01/2023,I,1009232,02/02/2023,I,454.2
1049659,USA,,1049659,A,25/01/2023,I,1049659,25/01/2023,I,447.6
1027401,USA,F,1027401,B,25/01/2023,I,1027401,25/01/2023,I,425.9
1043835,USA,F,1043835,A,01/02/2023,A,1043835,01/02/2023,A,425.4
1049704,USA,F,1049704,A,27/01/2023,I,1049704,27/01/2023,I,405.8
1018502,DEU,M,1018502,A,26/01/2023,I,1018502,26/01/2023,I,400.9
1048541,GBR,F,1048541,B,26/01/2023,A,1048541,26/01/2023,A,375.8
1044543,USA,M,1044543,B,06/02/2023,I,1044543,06/02/2023,I,351.5
1019940,MEX,F,1019940,A,02/02/2023,I,1019940,02/02/2023,I,335.1
1046581,FRA,F,1046581,A,03/02/2023,I,1046581,04/02/2023,I,333.79
1025097,GBR,F,1025097,B,28/01/2023,A,1025097,31/01/2023,A,332.4820136
1030201,BRA,,1030201,B,25/01/2023,I,1030201,25/01/2023,I,315.8
1001425,USA,M,1001425,B,25/01/2023,A,1001425,25/01/2023,A,309.8
1011140,GBR,O,1011140,A,26/01/2023,A,1011140,26/01/2023,A,291.9
1002163,USA,F,1002163,A,02/02/2023,A,1002163,02/02/2023,A,274.29
1036281,ESP,M,1036281,B,27/01/2023,I,1036281,27/01/2023,I,267.8
1042424,USA,F,1042424,B,03/02/2023,A,1042424,05/02/2023,A,262.29
1003488,BRA,M,1003488,A,26/01/2023,I,1003488,26/01/2023,I,255.66
1035052,DEU,F,1035052,B,25/01/2023,I,1035052,25/01/2023,I,248.97
1027975,TUR,F,1027975,A,01/02/2023,I,1027975,01/02/2023,I,248.2
1016281,USA,,1016281,B,26/01/2023,I,1016281,26/01/2023,I,248.11
1037883,MEX,,1037883,A,26/01/2023,I,1037883,27/01/2023,I,237.45
1003875,USA,,1003875,B,26/01/2023,I,1003875,26/01/2023,I,233.25
1028184,USA,M,1028184,B,30/01/2023,A,1028184,30/01/2023,A,231.28
1022033,BRA,F,1022033,A,29/01/2023,A,1022033,29/01/2023,A,229.7
1044101,TUR,F,1044101,A,25/01/2023,A,1044101,25/01/2023,A,229.02
1041343,ESP,F,1041343,B,25/01/2023,I,1041343,25/01/2023,I,228.2
1028961,USA,M,1028961,A,31/01/2023,I,1028961,31/01/2023,I,220.27
1035132,USA,M,1035132,B,04/02/2023,A,1035132,04/02/2023,A,217.72
1006290,ESP,F,1006290,B,26/01/2023,I,1006290,26/01/2023,I,215.99
1035885,USA,F,1035885,A,28/01/2023,I,1035885,28/01/2023,I,215.49
1024518,BRA,M,1024518,A,25/01/2023,A,1024518,25/01/2023,A,215.42
1026527,USA,M,1026527,A,03/02/2023,I,1026527,03/02/2023,I,213.6
1019618,ESP,O,1019618,B,27/01/2023,I,1019618,27/01/2023,I,211.78
1019210,BRA,F,1019210,A,04/02/2023,I,1019210,04/02/2023,I,208.73
1000261,TUR,F,1000261,A,25/01/2023,A,1000261,25/01/2023,A,205.98
1032793,USA,F,1032793,A,06/02/2023,I,1032793,06/02/2023,I,204.69
1030245,DEU,F,1030245,A,25/01/2023,A,1030245,25/01/2023,A,202.8
1029758,MEX,F,1029758,B,28/01/2023,I,1029758,28/01/2023,I,201.96
1038439,BRA,F,1038439,A,25/01/2023,A,1038439,25/01/2023,A,200.89
1019139,CAN,F,1019139,B,27/01/2023,I,1019139,27/01/2023,I,198.6
1040652,MEX,F,1040652,A,29/01/2023,I,1040652,29/01/2023,I,196.7
1036174,BRA,O,1036174,A,26/01/2023,I,1036174,26/01/2023,I,195.46
1014964,MEX,F,1014964,A,25/01/2023,I,1014964,25/01/2023,I,195.25
1022043,MEX,,1022043,B,28/01/2023,A,1022043,28/01/2023,A,194.4
1022467,CAN,M,1022467,A,28/01/2023,A,1022467,02/02/2023,A,193.85
1010495,USA,F,1010495,A,26/01/2023,A,1010495,31/01/2023,A,191.35
